,Antwort 0,Antwort 1,Antwort 2,Antwort 3,Index richtige Antwort
Welcher der folgenden Begriffe ist kein Programmierparadigma?,Imperatives Programmierparadigma,Regressives Programmierparadigma,Objektorientiertes Programmierparadigma,Agentenorientiertes Programmierparadigma,1
Auf welcher Sprache basiert jQuery?,Java,C++,Python,JavaScript,3
Was ist ein Petri-Netz?,Fischernetz,Modellierungskonzept,Vernetzung von Interfaces,Bestimmtes Rechnernetz,1
Was ist das Schlüsselwort für Vererbung?,implements,abstract,extends,instanceOf,2
Wie steht der Gesamtscore der CL-Spiele(13/14) 'Real Madrid vs. Deutsche Mannschaften'?,0-0,5-0,10-0,17-4,3
Wann wurde Steve Jobs geboren?,1950,1955,1960,1965,1
Oh mein Gott sie haben Kenny getötet! - Ihr...,Mistkerle,Unmenschen,Schweine,Hippies,2
Aus welchen Dorf kommt Naruto Uzumaki?,Konohagakure,Sunagakure,Iwagakure,Kumogakure,0
Wie schnell sind Regentropfen im Schnitt?,35 km/h,1 m/s,5 km/s,100 mph,0
Wer ist Deutschlands frechster Frechdachs?,Paul Panzer,Olli Schulz,Klaas-Heufer Umlauf,Joko Winterscheidt,3
Was ist Unity?,Programmiersprache,Hersteller für Computerhardware,Spiele-Engine,Diskussionsportal für Computerbastler,2
Wer sind die humorlosesten Menschen der Welt?,Die Deutschen,Die Japaner,Die Yupik Eskimos,Die Russen,0
Welches bezeichnet kein Flip-Flop?,JK,P,D,T,1
"Was verbirgt sich hinter ""KNX""?",Eine Programmiersprache für Echtzeitsysteme,Ein Feldbus zur Hausautomatisierung,Ein Komprimierungsstandard für die Video-Liveübertragung,Ein Dateiformat für 3D-Modelle,1
"Warum macht es Sinn eine Methode als ""private"" zu deklarieren?",Weil es besser aussieht.,"Man könnte stattdessen auch den Zugriffsmodifizierer ""persoenlich"" nutzen.",Damit von Aussen nicht auf die Methode zugegriffen werden kann.,Damit die Methode auch für andere Klassen zur Verfügung steht.,2
Welcher der folgenden Songs ist der beste?,Das Beer Boot,Love Me,Fall,Take You,0
Wem gehört der größte YouTube-Channel?,Ellen Degeneres,PewDiePie,Justin Bieber,Y-Titty,1
Wie hoch ist die Chance die richtige Antwort auf diese Frage zu geben?,75%,50%,25%,0%,3
Welche Zutat ist in Schokolade am meisten vertreten?,Zucker,Magermilchpulver,Kakaobutter,Sahnepulver,0
Welche Wunde fühlt sich am schlimmsten an?,Messerschnitt,Schramme,Kratzer,Papierschnitt zwischen den Fingern,3
Welcher der folgenden Planeten hat die größte Gravitation?,Erde,Jupiter,Saturn,Deine Mutter,3
How much wood would a woodchuck chuck if a woodchuck could chuck wood?,1 Hektoliter,3 Tonnen,5 Bäume,200 kg Luft,3
Wie lange dauert ein Lichtjahr? (ein Lichtjahr dauert nicht du Spaten!),1 Jahr,9.460 Billionen Kilometer,35 Meter,3 Ampere,1
"Wofür steht die Abkürzung ""CEST""?",Completely Edible Sugar Turtles,Central Eastern Summer Time,Cinnabar Equation Serenity Toast,Charmander Emergency Security Travel,1
Welche Hausnummer hat der Kölner Dom?,4,1337,146,136,0
Um wieviel Grad wurde der Kölner Dom laut dem Postillon gedreht?,90,180,45,360,3
What does the fox say?,Yip yip yip ,Dingdingdong,Wuff,Chipchipchip,2
Im welchem US Staat ist es verboten einen Elch aus dem Flugzeug zu werfen?,Kentucky,Alaska,California,Virginia,1
Welcher Datentyp beinhaltet eine Zeichenkette?,Tanga,String,Boxer Short,Eierkneifer,1
Welchen Wert hat x?,10,1337,5,1,3
Wieviele Newtonsche Axiome gibt es?,1,2,3,4,2
Wer hat den Supercup 2014 gewonnen?,Fc Bayern München,Borussia Dortmund,fand noch nicht statt,keiner von beiden,2
An welcher der folgenden Programmiersprachen arbeitete Ken Thompson mit?,Python,Java,Go,Ruby,2
Wieviele Kontinente gibt es weltweit???,6,Es gibt verschiedene Modelle mit unterschiedlch grosser Anzahl.,5,7,3
Aus wie vielen Teichen und Gräben besteht das Oberharzer Wasserregal?,4 Teiche und kein Graben,67 Teiche und 40 km Gräben,24 Teiche und 2 km Gräben,143 Teiche und 500 km Gräben,3
Was schmeckt besser als aus dem Glas?,Fanta,Cola,Sprite,Bier,1
Wie viele Liegestützen schafft Chuck Norris?,100,10.000,Alle,50,2
